,jogo,nota_publica,nota_critica,reviews_publica,reviews_critca,genero,empresa,gap
0,elden-ring,84,96,"Based on 23,546 User Ratings",Based on 86 Critic Reviews,Action RPG,Bandai Namco Games,12
1,bloodborne,89,92,"Based on 14,583 User Ratings",Based on 100 Critic Reviews,Action RPG,From Software,3
2,sekiro-shadows-die-twice,86,90,"Based on 7,226 User Ratings",Based on 77 Critic Reviews,Action Adventure,Activision,4
3,monster-hunter-world,78,90,"Based on 2,668 User Ratings",Based on 93 Critic Reviews,Action RPG,Capcom,12
4,monster-hunter-rise,83,88,"Based on 1,269 User Ratings",Based on 122 Critic Reviews,Action RPG,Capcom,5
5,lies-of-p,83,80,"Based on 3,414 User Ratings",Based on 68 Critic Reviews,Action RPG,Neowiz,3
6,nioh,81,88,"Based on 2,776 User Ratings",Based on 100 Critic Reviews,Action RPG,Sony Interactive Entertainment,7
7,nioh-2,79,85,"Based on 1,324 User Ratings",Based on 91 Critic Reviews,Action RPG,Koei Tecmo Games,6
8,wo-long-fallen-dynasty,67,80,Based on 662 User Ratings,Based on 74 Critic Reviews,Action RPG,Koei Tecmo Games,13
9,the-surge,66,73,Based on 439 User Ratings,Based on 57 Critic Reviews,Action RPG,Focus Home Interactive,7
10,the-surge-2,70,75,Based on 247 User Ratings,Based on 49 Critic Reviews,Action RPG,Focus Home Interactive,5
11,mortal-shell,62,76,Based on 627 User Ratings,Based on 44 Critic Reviews,Action RPG,Playstack,14
12,lords-of-the-fallen,68,75,"Based on 1,514 User Ratings",Based on 64 Critic Reviews,Action RPG,CI Games,7
13,blasphemous,80,77,Based on 769 User Ratings,Based on 27 Critic Reviews,Metroidvania,Team17,3
14,blasphemous-2,83,84,Based on 491 User Ratings,Based on 35 Critic Reviews,Metroidvania,Team17,1
15,tunic,79,85,Based on 916 User Ratings,Based on 60 Critic Reviews,Open-World Action,Finji,6
16,remnant-from-the-ashes,68,78,Based on 693 User Ratings,Based on 42 Critic Reviews,Third Person Shooter,Perfect World Entertainment,10
17,remnant-ii,72,80,Based on 624 User Ratings,Based on 68 Critic Reviews,Third Person Shooter,Gearbox Publishing,8
18,wild-hearts,65,79,Based on 201 User Ratings,Based on 57 Critic Reviews,Action RPG,Electronic Arts,14
19,dragons-dogma-2,65,86,"Based on 2,635 User Ratings",Based on 83 Critic Reviews,Action RPG,Capcom,21
20,code-vein,75,70,Based on 893 User Ratings,Based on 69 Critic Reviews,Action RPG,Bandai Namco Games,5
21,enotria-the-last-song,61,69,Based on 293 User Ratings,Based on 27 Critic Reviews,Action RPG,Jyamma Games,8
22,thymesia,63,69,Based on 181 User Ratings,Based on 43 Critic Reviews,Action RPG,Team17,6
23,the-forgotten-city,81,85,Based on 319 User Ratings,Based on 34 Critic Reviews,Action Adventure,Dear Villagers,4
24,firewatch,74,81,"Based on 2,396 User Ratings",Based on 65 Critic Reviews,First-Person Adventure,Panic Inc.,7
25,returnal,74,86,"Based on 4,648 User Ratings",Based on 115 Critic Reviews,Third Person Shooter,PlayStation Studios,12
26,deathloop,68,88,"Based on 2,087 User Ratings",Based on 109 Critic Reviews,FPS,Bethesda Softworks,20
27,sable,61,76,Based on 206 User Ratings,Based on 48 Critic Reviews,Open-World Action,Raw Fury,15
28,return-of-the-obra-dinn,87,89,Based on 637 User Ratings,Based on 35 Critic Reviews,First-Person Adventure,3909,2
29,chants-of-sennaar,85,86,Based on 226 User Ratings,Based on 15 Critic Reviews,Adventure,Focus Entertainment,1
30,the-talos-principle,85,85,Based on 881 User Ratings,Based on 57 Critic Reviews,First-Person Adventure,Devolver Digital,0
31,the-talos-principle-2,84,88,Based on 244 User Ratings,Based on 46 Critic Reviews,First-Person Adventure,Devolver Digital,4
32,no-mans-sky,56,71,"Based on 5,610 User Ratings",Based on 96 Critic Reviews,Open-World Action,Hello Games,15
33,citizen-sleeper,75,82,Based on 168 User Ratings,Based on 19 Critic Reviews,Western RPG,Fellow Traveller,7
34,soma,84,84,"Based on 1,682 User Ratings",Based on 68 Critic Reviews,Survival,Frictional Games,0
35,doom-eternal,85,88,"Based on 6,408 User Ratings",Based on 61 Critic Reviews,FPS,Bethesda Softworks,3
36,dusk,83,88,Based on 342 User Ratings,Based on 19 Critic Reviews,FPS,New Blood Interactive,5
37,amid-evil,76,85,Based on 127 User Ratings,Based on 9 Critic Reviews,FPS,New Blood Interactive,9
38,ghostrunner,78,81,"Based on 1,143 User Ratings",Based on 65 Critic Reviews,3D Platformer,All in! Games,3
39,ghostrunner-2,75,80,Based on 299 User Ratings,Based on 51 Critic Reviews,3D Platformer,505 Games,5
40,metal-hellsinger,75,79,Based on 235 User Ratings,Based on 63 Critic Reviews,FPS,Funcom,4
41,post-void,77,76,Based on 51 User Ratings,Based on 8 Critic Reviews,FPS,YCJY Games,1
42,prodeus,76,84,Based on 110 User Ratings,Based on 15 Critic Reviews,FPS,Humble Games,8
43,ion-fury,70,79,Based on 313 User Ratings,Based on 29 Critic Reviews,FPS,1C Entertainment,9
44,shadow-warrior-2,78,78,Based on 666 User Ratings,Based on 61 Critic Reviews,FPS,Devolver Digital,0
45,titanfall-2,85,89,"Based on 3,246 User Ratings",Based on 61 Critic Reviews,FPS,Electronic Arts,4
46,severed-steel,73,73,Based on 124 User Ratings,Based on 14 Critic Reviews,FPS,Digerati Distribution,0
47,roboquest,86,85,Based on 91 User Ratings,Based on 5 Critic Reviews,FPS,RyseUp Studios,1
48,overwatch-2,20,79,"Based on 5,073 User Ratings",Based on 53 Critic Reviews,Tactical FPS,Blizzard Entertainment,59
49,paladins,64,74,Based on 247 User Ratings,Based on 14 Critic Reviews,Tactical FPS,Hi-Rez Studios,10
50,valorant,47,80,"Based on 4,955 User Ratings",Based on 42 Critic Reviews,Tactical FPS,Riot Games,33
51,apex-legends,66,89,"Based on 2,398 User Ratings",Based on 28 Critic Reviews,Tactical FPS,Electronic Arts,23
52,team-fortress-2,86,92,"Based on 5,120 User Ratings",Based on 17 Critic Reviews,Tactical FPS,Valve Software,6
53,gundam-evolution,50,72,Based on 28 User Ratings,Based on 9 Critic Reviews,Tactical FPS,Bandai Namco Games,22
54,gigantic-rampage-edition,49,65,Based on 7 User Ratings,Based on 6 Critic Reviews,MOBA,Gearbox Publishing,16
